,BTC,ETH,XRP,AAPL,AMZN,GOOGL,INFY.NS,MSFT,RELIANCE.NS,TCS.NS,TSLA
BTC,1.0,0.7914248570620875,0.47058421749941626,0.2415319281372296,0.26705693485766885,0.2551831987416528,0.05065950603298181,0.29127061165631507,0.04192484421762325,0.07294679730888573,0.2973562745371379
ETH,0.7914248570620875,1.0,0.5089480135973593,0.24585010896986578,0.25885243990208434,0.2568009083519278,0.08828299717397076,0.27391505881529843,0.0767814982610613,0.1233934538258353,0.2949816531836493
XRP,0.47058421749941626,0.5089480135973593,1.0,0.15152363843281907,0.16786585686615,0.18506868434702353,0.05523045874547882,0.1977692459086715,0.06831678841642491,0.06259614790693736,0.23459715531889988
AAPL,0.2415319281372296,0.24585010896986578,0.15152363843281907,1.0,0.5802636771419025,0.5803961631562482,0.08990828281562692,0.6471354217968325,0.08426749983641592,0.10971404063123844,0.49094842214178414
AMZN,0.26705693485766885,0.25885243990208434,0.16786585686615,0.5802636771419025,1.0,0.6294874528429695,0.11261178445044358,0.6772532188864543,0.1024398099514224,0.13285958778418844,0.44198141962138143
GOOGL,0.2551831987416528,0.2568009083519278,0.18506868434702353,0.5803961631562482,0.6294874528429695,1.0,0.10434971076226719,0.6699065189854395,0.09111284545937512,0.12230643427325559,0.3983925370708209
INFY.NS,0.05065950603298181,0.08828299717397076,0.05523045874547882,0.08990828281562692,0.11261178445044358,0.10434971076226719,1.0,0.12354648756280837,0.270548446398525,0.6957873252822021,0.07484816706315989
MSFT,0.29127061165631507,0.27391505881529843,0.1977692459086715,0.6471354217968325,0.6772532188864543,0.6699065189854395,0.12354648756280837,1.0,0.08779530429839873,0.13104756125953612,0.41749440359687306
RELIANCE.NS,0.04192484421762325,0.0767814982610613,0.06831678841642491,0.08426749983641592,0.1024398099514224,0.09111284545937512,0.270548446398525,0.08779530429839873,1.0,0.28903728418820296,0.08755599671696059
TCS.NS,0.07294679730888573,0.1233934538258353,0.06259614790693736,0.10971404063123844,0.13285958778418844,0.12230643427325559,0.6957873252822021,0.13104756125953612,0.28903728418820296,1.0,0.11588810800045485
TSLA,0.2973562745371379,0.2949816531836493,0.23459715531889988,0.49094842214178414,0.44198141962138143,0.3983925370708209,0.07484816706315989,0.41749440359687306,0.08755599671696059,0.11588810800045485,1.0
