,mean_return,volatility,Annualized Return,Annualized Volatility,Sharpe Ratio
BTC,0.0024980578716490356,0.03752056902589056,0.629510583655557,0.5956205681528365,1.0568986655511607
ETH,0.003130506757193376,0.05035388784986509,0.7888877028127308,0.7993431887758795,0.9869199036034068
XRP,0.0041002369357794515,0.06994464764263293,1.0332597078164218,1.1103368592146814,0.9305821915587179
AAPL,0.0007935350491314396,0.017761344101651203,0.1999708323811228,0.281952596659278,0.7092356472346129
AMZN,0.00048748207581131205,0.021764351867362492,0.12284548310445063,0.3454983749252723,0.3555602342008724
GOOGL,0.0011286206947525466,0.019229479058986462,0.28441241507764176,0.30525851658841513,0.9317100084749461
INFY.NS,0.00048016271093805096,0.01496273038104858,0.12100100315638884,0.2375259811365916,0.5094221801648134
MSFT,0.000850341345516492,0.016138584170601395,0.214286019070156,0.25619208136856936,0.8364271757559695
RELIANCE.NS,0.0003472720862965601,0.014439360057421661,0.08751256574673315,0.22921773481714228,0.38178793546034306
TCS.NS,0.00027804154956160925,0.013043878031241959,0.07006647048952554,0.20706514441515014,0.3383788743751459
TSLA,0.0015954637889451172,0.037943000220054784,0.4020568748141695,0.602326455467604,0.6675065841198039
